sample_id	adeA	adeB	adeC	adeI	adeJ	adeK	adeR	adeS	blaOXA-23	blaOXA-69	crr_adeA	crr_adeB	crr_adeC	crr_adeI	crr_adeJ	crr_adeK	crr_adeR	crr_adeS	crr_blaOXA-23	crr_blaOXA-69
ERR197595	1	1	1	1	1	1	1	1	1	1	1.22981416504356	0.8485807476510305	0.0018831398528459	1.0292888542152798	1.1168429221484604	1.2109724866864175	1.0232983374583051	1.1544892790786787	0.0	1.151557167438778
ERR197596	1	1	1	1	1	1	1	1	1	1	1.1289423303404829	0.8690975629333899	0.000904442559123	1.051621040216656	1.165391684716891	1.1322152045150609	1.0748298752672465	1.1967738034216704	0.0	1.1767732282497505
ERR197597	1	1	1	1	1	1	1	1	1	1	1.0558689968899693	0.7886322391456775	0.0129035440867008	1.1170228111265277	1.0871490004489277	1.115450645779772	0.8488275817763207	1.2470312148943252	0.0	1.0656930717718605
ERR197598	1	1	1	1	1	1	1	1	1	1	0.9955527570408248	0.7740939793336238	0.0022342073018688	0.992963571677579	1.0169769504051147	1.1263454816800065	0.9238216625081144	1.2524770415725333	0.0	1.0734071159595684
ERR197599	1	1	1	1	1	1	1	1	1	1	1.082634649680009	0.8105077029905093	0.0	1.190401582136615	1.16163691802677	1.162266957905799	1.0761958432315322	1.2497987164559656	0.0	1.1980270486800195
ERR197601	1	1	1	1	1	1	1	1	1	1	1.1064330643447435	1.1416890985368715	1.0081426053593854	1.0892556125219588	1.1185855713532415	1.100542958962562	1.1161583184034487	1.26393693816305	0.0	1.1271788941066676
ERR197605	1	1	1	1	1	1	1	1	1	1	1.1494326162260375	0.8242785590232915	0.00129128176997	1.021076611319031	1.2033509754973757	1.2669342943033293	1.077969920367042	1.285089865841633	0.0	1.2343019768537609
ERR197610	1	1	1	1	1	1	1	1	1	1	1.0690342955163428	1.1282218947179556	1.2848963594469214	1.072981017709978	1.0429133410533182	1.0488695747213812	1.0393792337896994	1.3500697905304555	0.0	1.077840337764289
ERR197612	1	1	1	1	1	1	1	1	1	1	0.922374983836509	1.0316558020191562	1.20105616529874	1.1406325549826295	1.0508406885630557	1.2259629821927227	0.9568168387146276	1.1764923108155525	0.0	0.9365439356020834
ERR197613	1	1	1	1	1	1	1	1	1	1	1.2581930931849192	1.1122394798266857	1.196401442421697	1.1609409430696251	1.1333034063280751	1.1989135760901792	0.9929741644309682	1.2529702608110795	0.0	1.108937812914513
ERR197614	1	1	1	1	1	1	1	1	1	1	1.034669426547109	1.0807342049082216	1.0583881537667297	0.9742090160629752	1.0924331929052205	1.0779814475384728	1.0009361522906364	1.251313682233801	0.0	0.997591257418891
ERR197618	1	1	1	1	1	1	1	1	1	1	0.9969774456585808	0.7518655046185468	0.0063969127910361	1.1010435506940852	1.1027606713090423	1.1218452500454386	0.8543578829160076	1.154416277717054	0.0	0.9738044654918104
ERR197619	1	1	1	1	1	1	1	1	1	1	1.0335100135188957	1.0790803852678192	1.1482535286211966	1.0560676922722592	1.062245859149582	1.049100585508694	0.9416355960228152	1.3022971356113846	0.0	1.0204922228951
ERR197620	1	1	1	1	1	1	1	1	1	1	1.01055755945687	1.0531430456726167	1.143946131261641	1.0204239349017503	1.0436641633062544	1.1074806129605053	1.009807110845674	1.2541994895772834	0.0	0.9743423047117008
ERR197621	1	1	1	1	1	1	1	1	1	1	1.1199634761982735	1.0607133953421977	1.137604110257928	1.1093182424419437	1.1506854628284635	1.172076368115916	1.0522685305903778	1.2077011176538517	0.0	1.1351542960412435
ERR197622	1	1	1	1	1	1	1	1	1	1	1.1077899969426497	1.1222485111818843	1.176569810781804	0.9876558619081997	1.1033267944733522	1.1920409563796226	1.021300497728006	1.3574864336150396	0.0	1.0966747255122395
ERR197623	1	1	1	1	1	1	1	1	1	1	1.1090329623141837	1.089231420328202	1.2109249773929824	1.146459813019391	1.1867856430986758	1.3003471275895333	1.0490928628342122	1.1940863758951756	0.0	1.098895543062821
ERR197624	1	1	1	1	1	1	1	1	1	1	1.1156722286170777	1.023719283809888	1.0218762992866743	1.1083124778045694	1.1641878460502153	1.2541820856754984	0.977344660356129	1.1436808678822703	0.0	1.0980899679864022
ERR197626	1	1	1	1	1	1	1	1	1	1	1.2276302762448543	0.8454137293952118	0.0270194401602302	1.0852376064743134	1.1734012316909774	1.2075569934810964	0.992032716780758	1.321341392285336	0.0	1.0912113994030264
ERR197628	1	1	1	1	1	1	1	1	1	1	1.2677595908756285	1.1471749732456982	1.1928808159029602	1.0856820987412097	1.1495458022926677	1.184982095663713	1.12299239497015	1.2506639600096987	0.0	1.1604806124661828
