accession	layout	r1_url	r2_url	biosample	read_count	stratum
ERR017278	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017278/ERR017278_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017278/ERR017278_2.fastq.gz	SAMEA734719	1105652	r
ERR017279	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017279/ERR017279_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017279/ERR017279_2.fastq.gz	SAMEA734718	1048704	r
ERR017284	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017284/ERR017284_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017284/ERR017284_2.fastq.gz	SAMEA734711	2389707	r
ERR017285	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017285/ERR017285_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017285/ERR017285_2.fastq.gz	SAMEA734715	1566034	r
ERR017287	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017287/ERR017287_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017287/ERR017287_2.fastq.gz	SAMEA734717	1183885	r
ERR017290	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017290/ERR017290_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017290/ERR017290_2.fastq.gz	SAMEA734720	2393277	r
ERR017292	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017292/ERR017292_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017292/ERR017292_2.fastq.gz	SAMEA734722	1668834	r
ERR017293	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017293/ERR017293_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017293/ERR017293_2.fastq.gz	SAMEA734752	1949607	s
ERR017297	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017297/ERR017297_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017297/ERR017297_2.fastq.gz	SAMEA734749	2538650	r
ERR017301	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017301/ERR017301_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR017/ERR017301/ERR017301_2.fastq.gz	SAMEA734728	1004178	s
ERR024671	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024671/ERR024671_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024671/ERR024671_2.fastq.gz	SAMEA862644	3124108	r
ERR024672	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024672/ERR024672_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024672/ERR024672_2.fastq.gz	SAMEA862637	3011227	r
ERR024674	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024674/ERR024674_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024674/ERR024674_2.fastq.gz	SAMEA862631	4281179	r
ERR024684	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024684/ERR024684_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024684/ERR024684_2.fastq.gz	SAMEA862659	2829604	r
ERR024687	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024687/ERR024687_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024687/ERR024687_2.fastq.gz	SAMEA862648	4150039	r
ERR024691	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024691/ERR024691_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024691/ERR024691_2.fastq.gz	SAMEA862617	4802171	r
ERR024974	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024974/ERR024974_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024974/ERR024974_2.fastq.gz	SAMEA862657	4054626	r
ERR024977	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024977/ERR024977_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR024/ERR024977/ERR024977_2.fastq.gz	SAMEA862534	2208961	r
ERR026007	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026007/ERR026007_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026007/ERR026007_2.fastq.gz	SAMEA862564	3346021	r
ERR026008	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026008/ERR026008_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026008/ERR026008_2.fastq.gz	SAMEA862604	3014379	r
ERR026009	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026009/ERR026009_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026009/ERR026009_2.fastq.gz	SAMEA862605	3034866	r
ERR026010	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026010/ERR026010_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026010/ERR026010_2.fastq.gz	SAMEA862602	2653237	r
ERR026011	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026011/ERR026011_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026011/ERR026011_2.fastq.gz	SAMEA862603	834380	r
ERR026649	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026649/ERR026649_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026649/ERR026649_2.fastq.gz	SAMEA862583	5068400	r
ERR026652	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026652/ERR026652_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026652/ERR026652_2.fastq.gz	SAMEA862577	3216273	r
ERR026662	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026662/ERR026662_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026662/ERR026662_2.fastq.gz	SAMEA862541	2085934	r
ERR026665	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026665/ERR026665_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026665/ERR026665_2.fastq.gz	SAMEA862558	1273469	r
ERR026667	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026667/ERR026667_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026667/ERR026667_2.fastq.gz	SAMEA862559	1621613	r
ERR026688	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026688/ERR026688_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026688/ERR026688_2.fastq.gz	SAMEA862569	3777483	r
ERR026705	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026705/ERR026705_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR026/ERR026705/ERR026705_2.fastq.gz	SAMEA862618	2965834	r
