accession	layout	r1_url	r2_url
ERR12186971	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/071/ERR12186971/ERR12186971_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/071/ERR12186971/ERR12186971_2.fastq.gz
ERR12186973	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/073/ERR12186973/ERR12186973_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/073/ERR12186973/ERR12186973_2.fastq.gz
ERR12186975	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/075/ERR12186975/ERR12186975_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/075/ERR12186975/ERR12186975_2.fastq.gz
ERR12186977	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/077/ERR12186977/ERR12186977_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/077/ERR12186977/ERR12186977_2.fastq.gz
ERR12186978	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/078/ERR12186978/ERR12186978_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/078/ERR12186978/ERR12186978_2.fastq.gz
ERR12186980	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/080/ERR12186980/ERR12186980_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/080/ERR12186980/ERR12186980_2.fastq.gz
ERR12186983	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/083/ERR12186983/ERR12186983_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/083/ERR12186983/ERR12186983_2.fastq.gz
ERR12186984	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/084/ERR12186984/ERR12186984_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/084/ERR12186984/ERR12186984_2.fastq.gz
ERR12186985	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/085/ERR12186985/ERR12186985_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/085/ERR12186985/ERR12186985_2.fastq.gz
ERR12186986	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/086/ERR12186986/ERR12186986_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/086/ERR12186986/ERR12186986_2.fastq.gz
ERR12186987	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/087/ERR12186987/ERR12186987_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/087/ERR12186987/ERR12186987_2.fastq.gz
ERR12186988	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/088/ERR12186988/ERR12186988_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/088/ERR12186988/ERR12186988_2.fastq.gz
ERR12186989	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/089/ERR12186989/ERR12186989_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/089/ERR12186989/ERR12186989_2.fastq.gz
ERR1218722	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1218722/ERR1218722_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1218722/ERR1218722_2.fastq.gz
ERR1218724	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1218724/ERR1218724_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1218724/ERR1218724_2.fastq.gz
ERR1218725	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218725/ERR1218725_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218725/ERR1218725_2.fastq.gz
ERR1218726	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1218726/ERR1218726_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1218726/ERR1218726_2.fastq.gz
ERR1218727	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1218727/ERR1218727_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1218727/ERR1218727_2.fastq.gz
ERR1218728	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1218728/ERR1218728_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1218728/ERR1218728_2.fastq.gz
ERR1218729	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1218729/ERR1218729_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/009/ERR1218729/ERR1218729_2.fastq.gz
ERR1218735	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218735/ERR1218735_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218735/ERR1218735_2.fastq.gz
ERR1218737	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1218737/ERR1218737_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1218737/ERR1218737_2.fastq.gz
ERR1218744	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1218744/ERR1218744_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/004/ERR1218744/ERR1218744_2.fastq.gz
ERR1218745	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218745/ERR1218745_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218745/ERR1218745_2.fastq.gz
ERR1218747	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1218747/ERR1218747_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/007/ERR1218747/ERR1218747_2.fastq.gz
ERR1218748	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1218748/ERR1218748_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/008/ERR1218748/ERR1218748_2.fastq.gz
ERR1218752	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1218752/ERR1218752_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/002/ERR1218752/ERR1218752_2.fastq.gz
ERR1218753	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1218753/ERR1218753_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/003/ERR1218753/ERR1218753_2.fastq.gz
ERR1218755	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218755/ERR1218755_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/005/ERR1218755/ERR1218755_2.fastq.gz
ERR1218756	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1218756/ERR1218756_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR121/006/ERR1218756/ERR1218756_2.fastq.gz
