sample_id	Species	ST	sample_accession
SRR6675863	Klebsiella pneumoniae	ST258	SAMN04287033
SRR3226938	Klebsiella pneumoniae	ST258	SAMN04287036
SRR3476954	Klebsiella pneumoniae	ST11-2LV	SAMN04325160
SRR3477081	Klebsiella pneumoniae	ST29-1LV	SAMN04325161
SRR3057129	Klebsiella pneumoniae	ST488-3LV	SAMN04339714
SRR3057130	Klebsiella pneumoniae	ST488-3LV	SAMN04339715
SRR3051152	Klebsiella pneumoniae	ST253	SAMN04357320
SRR3051153	Klebsiella pneumoniae	ST36	SAMN04357321
SRR3051179	Klebsiella pneumoniae	ST1423	SAMN04357322
SRR3051154	Klebsiella pneumoniae	ST761-2LV	SAMN04357323
SRR3051155	Klebsiella pneumoniae	ST147	SAMN04357324
SRR3051156	Klebsiella pneumoniae	ST86	SAMN04357325
SRR3051157	Klebsiella pneumoniae	ST490	SAMN04357326
SRR3051158	Klebsiella pneumoniae	ST2436	SAMN04357327
SRR3051159	Klebsiella pneumoniae	ST14	SAMN04357328
SRR3051180	Klebsiella pneumoniae	ST15	SAMN04357329
SRR3051181	Klebsiella pneumoniae	ST1423	SAMN04357330
SRR3051160	Klebsiella pneumoniae	ST2451-1LV	SAMN04357331
SRR3051161	Klebsiella pneumoniae	ST490	SAMN04357332
SRR3051162	Klebsiella pneumoniae	ST536	SAMN04357333
SRR3051182	Klebsiella pneumoniae	ST490	SAMN04357334
SRR3051163	Klebsiella pneumoniae	ST4226	SAMN04357335
SRR3051183	Klebsiella pneumoniae	ST3234	SAMN04357336
SRR3051184	Klebsiella pneumoniae	ST490	SAMN04357337
SRR3051185	Klebsiella pneumoniae	ST1-4LV	SAMN04357338
SRR3051186	Klebsiella pneumoniae	ST478-1LV	SAMN04357339
SRR3051164	Klebsiella pneumoniae	ST490	SAMN04357340
SRR3051165	Klebsiella pneumoniae	ST490	SAMN04357341
SRR3051166	Klebsiella pneumoniae	ST1198	SAMN04357342
SRR3051167	Klebsiella pneumoniae	ST111	SAMN04357343
SRR3051168	Klebsiella pneumoniae	ST490	SAMN04357344
SRR3051169	Klebsiella pneumoniae	ST490	SAMN04357345
SRR3051187	Klebsiella pneumoniae	ST473-3LV	SAMN04357346
SRR3051170	Klebsiella pneumoniae	ST1217-1LV	SAMN04357347
SRR3051171	Klebsiella pneumoniae	ST490	SAMN04357348
SRR3051172	Klebsiella pneumoniae	ST1012	SAMN04357349
SRR3051188	Klebsiella pneumoniae	ST2785-2LV	SAMN04357350
SRR3051189	Klebsiella pneumoniae	ST490	SAMN04357351
SRR3051173	Klebsiella pneumoniae	ST252	SAMN04357352
SRR3051190	Klebsiella pneumoniae	ST20	SAMN04357353
SRR3051174	Klebsiella pneumoniae	ST1658	SAMN04357354
SRR3051191	Klebsiella pneumoniae	ST14	SAMN04357355
SRR3051175	Klebsiella pneumoniae	ST490	SAMN04357356
SRR3051192	Klebsiella pneumoniae	ST490	SAMN04357357
SRR3051193	Klebsiella pneumoniae	ST3042	SAMN04357358
SRR3051176	Klebsiella pneumoniae	ST490	SAMN04357359
SRR3051177	Klebsiella pneumoniae	ST1423	SAMN04357360
SRR3051194	Klebsiella pneumoniae	ST2164	SAMN04357361
SRR3051195	Klebsiella pneumoniae	ST20	SAMN04357362
SRR3051178	Klebsiella pneumoniae	ST490	SAMN04357363
SRR3051196	Klebsiella pneumoniae	ST4042-1LV	SAMN04357364
SRR3051197	Klebsiella pneumoniae	ST1875	SAMN04357365
SRR3051198	Klebsiella pneumoniae	ST4275	SAMN04357366
SRR3051199	Klebsiella pneumoniae	ST2263	SAMN04357367
SRR3051200	Klebsiella pneumoniae	ST490	SAMN04357368
SRR3051201	Klebsiella pneumoniae	ST189	SAMN04357369
SRR3051202	Klebsiella pneumoniae	ST1093	SAMN04357370
SRR3051203	Klebsiella pneumoniae	ST17	SAMN04357371
SRR3051204	Klebsiella pneumoniae	ST490	SAMN04357372
SRR3051205	Klebsiella pneumoniae	ST1314-1LV	SAMN04357373
SRR3051206	Klebsiella pneumoniae	ST697	SAMN04357374
SRR3051207	Klebsiella pneumoniae	ST490	SAMN04357375
SRR3051208	Klebsiella pneumoniae	ST17	SAMN04357376
SRR3051209	Klebsiella pneumoniae	ST432-1LV	SAMN04357377
SRR3051210	Klebsiella pneumoniae	ST490	SAMN04357378
SRR3051211	Klebsiella pneumoniae	ST2785-2LV	SAMN04357379
SRR3051212	Klebsiella pneumoniae	ST2004-1LV	SAMN04357380
SRR3051213	Klebsiella pneumoniae	ST309	SAMN04357381
SRR3051214	Klebsiella pneumoniae	ST3086	SAMN04357382
SRR3051215	Klebsiella pneumoniae	ST45	SAMN04357383
SRR3051216	Klebsiella pneumoniae	ST17	SAMN04357384
SRR3051217	Klebsiella pneumoniae	ST20	SAMN04357385
SRR3051218	Klebsiella pneumoniae	ST13	SAMN04357386
SRR3051219	Klebsiella pneumoniae	ST20	SAMN04357387
SRR3051220	Klebsiella pneumoniae	ST678-1LV	SAMN04357388
SRR3051221	Klebsiella pneumoniae	ST1994	SAMN04357389
SRR3051223	Klebsiella pneumoniae	ST3931	SAMN04357391
SRR3051224	Klebsiella pneumoniae	ST105	SAMN04357392
SRR3051225	Klebsiella pneumoniae	ST10	SAMN04357393
SRR3051226	Klebsiella pneumoniae	ST3669-1LV	SAMN04357394
SRR3051227	Klebsiella pneumoniae	ST2623	SAMN04357395
SRR3051228	Klebsiella pneumoniae	ST1407	SAMN04357396
SRR3051229	Klebsiella pneumoniae	ST1141	SAMN04357397
SRR3051230	Klebsiella pneumoniae	ST1243-1LV	SAMN04357398
SRR3051231	Klebsiella pneumoniae	ST3976	SAMN04357399
SRR3051232	Klebsiella pneumoniae	ST976	SAMN04357400
SRR3051233	Klebsiella pneumoniae	ST490	SAMN04357401
SRR3051234	Klebsiella pneumoniae	ST370	SAMN04357402
SRR3051235	Klebsiella pneumoniae	ST490	SAMN04357403
SRR3051236	Klebsiella pneumoniae	ST3895	SAMN04357404
SRR3051237	Klebsiella pneumoniae	ST17	SAMN04357405
SRR3051238	Klebsiella pneumoniae	ST35	SAMN04357406
SRR3051239	Klebsiella pneumoniae	ST15	SAMN04357407
SRR3051240	Klebsiella pneumoniae	ST761-2LV	SAMN04357408
SRR3051241	Klebsiella pneumoniae	ST34	SAMN04357409
SRR3051242	Klebsiella pneumoniae	ST3911	SAMN04357410
SRR3051243	Klebsiella pneumoniae	ST954-1LV	SAMN04357411
SRR3051244	Klebsiella pneumoniae	ST1503-3LV	SAMN04357412
SRR3051245	Klebsiella pneumoniae	ST6	SAMN04357413
SRR3051246	Klebsiella pneumoniae	ST36-1LV	SAMN04357414
SRR3051247	Klebsiella pneumoniae	ST490	SAMN04357415
SRR3051248	Klebsiella pneumoniae	ST1050	SAMN04357416
SRR3051249	Klebsiella pneumoniae	ST788	SAMN04357417
SRR3051250	Klebsiella pneumoniae	ST2682	SAMN04357418
SRR3051251	Klebsiella pneumoniae	ST193	SAMN04357419
SRR3051252	Klebsiella pneumoniae	ST45	SAMN04357420
SRR3051253	Klebsiella pneumoniae	ST147	SAMN04357421
SRR3051254	Klebsiella pneumoniae	ST3661	SAMN04357422
SRR3051255	Klebsiella pneumoniae	ST30	SAMN04357423
SRR3051256	Klebsiella pneumoniae	ST360	SAMN04357424
SRR3051257	Klebsiella pneumoniae	ST208-1LV	SAMN04357425
SRR3051258	Klebsiella pneumoniae	ST65	SAMN04357426
SRR3051259	Klebsiella pneumoniae	ST2657	SAMN04357427
SRR3051260	Klebsiella pneumoniae	ST14	SAMN04357428
SRR3051261	Klebsiella pneumoniae	ST240	SAMN04357429
SRR3051103	Klebsiella pneumoniae	ST1323-2LV	SAMN04357430
SRR3051109	Klebsiella pneumoniae	ST347-2LV	SAMN04357431
SRR3051115	Klebsiella pneumoniae	ST595	SAMN04357432
SRR3051124	Klebsiella pneumoniae	ST588	SAMN04357433
SRR3051135	Klebsiella pneumoniae	ST1270-1LV	SAMN04357434
SRR3051144	Klebsiella pneumoniae	ST29	SAMN04357435
SRR3051151	Klebsiella pneumoniae	ST16	SAMN04357436
SRR3051086	Klebsiella pneumoniae	ST39	SAMN04357437
SRR3051087	Klebsiella pneumoniae	ST3228	SAMN04357438
SRR3051088	Klebsiella pneumoniae	ST297	SAMN04357439
SRR3051089	Klebsiella pneumoniae	ST4381	SAMN04357440
SRR3051090	Klebsiella pneumoniae	ST29	SAMN04357441
SRR3051091	Klebsiella pneumoniae	ST490	SAMN04357442
SRR3051092	Klebsiella pneumoniae	ST1141	SAMN04357443
SRR3051093	Klebsiella pneumoniae	ST16	SAMN04357444
SRR3051094	Klebsiella pneumoniae	ST850-2LV	SAMN04357445
SRR3051095	Klebsiella pneumoniae	ST1381	SAMN04357446
SRR3051096	Klebsiella pneumoniae	ST144-2LV	SAMN04357447
SRR3051097	Klebsiella pneumoniae	ST1454	SAMN04357448
SRR3051098	Klebsiella pneumoniae	ST1454	SAMN04357449
SRR3051099	Klebsiella pneumoniae	ST1486	SAMN04357450
SRR3051100	Klebsiella pneumoniae	ST133	SAMN04357451
SRR3051101	Klebsiella pneumoniae	ST490	SAMN04357452
SRR3051102	Klebsiella pneumoniae	ST133	SAMN04357453
SRR3051104	Klebsiella pneumoniae	ST116	SAMN04357454
SRR3051106	Klebsiella pneumoniae	ST45-1LV	SAMN04357455
SRR3051107	Klebsiella pneumoniae	ST490	SAMN04357456
SRR3051108	Klebsiella pneumoniae	ST526	SAMN04357457
SRR3051110	Klebsiella pneumoniae	ST253	SAMN04357458
SRR3051111	Klebsiella pneumoniae	ST925	SAMN04357459
SRR3051112	Klebsiella pneumoniae	ST1466-4LV	SAMN04357460
SRR3051113	Klebsiella pneumoniae	ST896	SAMN04357461
SRR3051114	Klebsiella pneumoniae	ST896	SAMN04357462
SRR3051116	Klebsiella pneumoniae	ST289	SAMN04357463
SRR3051117	Klebsiella pneumoniae	ST1108	SAMN04357464
SRR3051118	Klebsiella pneumoniae	ST39	SAMN04357465
SRR3051119	Klebsiella pneumoniae	ST39	SAMN04357466
SRR3051120	Klebsiella pneumoniae	ST776	SAMN04357467
SRR3051121	Klebsiella pneumoniae	ST35	SAMN04357468
SRR3051122	Klebsiella pneumoniae	ST1108	SAMN04357469
SRR3051123	Klebsiella pneumoniae	ST485	SAMN04357470
SRR3051126	Klebsiella pneumoniae	ST490	SAMN04357471
SRR3051127	Klebsiella pneumoniae	ST15	SAMN04357472
SRR3051128	Klebsiella pneumoniae	ST37	SAMN04357473
SRR3051129	Klebsiella pneumoniae	ST1138	SAMN04357474
SRR3051130	Klebsiella pneumoniae	ST268	SAMN04357475
SRR3051131	Klebsiella pneumoniae	ST14	SAMN04357476
SRR3051132	Klebsiella pneumoniae	ST1230	SAMN04357477
SRR3051133	Klebsiella pneumoniae	ST14	SAMN04357478
SRR3051134	Klebsiella pneumoniae	ST35	SAMN04357479
SRR3051136	Klebsiella pneumoniae	ST22	SAMN04357480
SRR3051137	Klebsiella pneumoniae	ST3234	SAMN04357481
SRR3051138	Klebsiella pneumoniae	ST360	SAMN04357482
SRR3051139	Klebsiella pneumoniae	ST599	SAMN04357483
SRR3051140	Klebsiella pneumoniae	ST460	SAMN04357484
SRR3051141	Klebsiella pneumoniae	ST485	SAMN04357485
SRR3051142	Klebsiella pneumoniae	ST35	SAMN04357486
SRR3051143	Klebsiella pneumoniae	ST347	SAMN04357487
SRR3051145	Klebsiella pneumoniae	ST1478-1LV	SAMN04357488
SRR3051146	Klebsiella pneumoniae	ST1614-1LV	SAMN04357489
SRR3051147	Klebsiella pneumoniae	ST37	SAMN04357490
SRR3051148	Klebsiella pneumoniae	ST596	SAMN04357491
SRR3051149	Klebsiella pneumoniae	ST37	SAMN04357492
SRR3051150	Klebsiella pneumoniae	ST297	SAMN04357493
SRR3051105	Klebsiella pneumoniae	ST3697	SAMN04357494
SRR3051125	Klebsiella pneumoniae	ST490-1LV	SAMN04357495
SRR3095383	Klebsiella pneumoniae	ST327	SAMN04393399
SRR3219268	Klebsiella pneumoniae	ST34	SAMN04448219
SRR3219271	Klebsiella pneumoniae	ST34	SAMN04448220
SRR3219817	Klebsiella pneumoniae	ST34	SAMN04448221
SRR3219826	Klebsiella pneumoniae	ST34	SAMN04448222
SRR3219827	Klebsiella pneumoniae	ST34	SAMN04448223
SRR3219834	Klebsiella pneumoniae	ST14	SAMN04448225
SRR3219835	Klebsiella pneumoniae	ST43	SAMN04448226
SRR3221668	Klebsiella pneumoniae	ST14	SAMN04448227
SRR3221670	Klebsiella pneumoniae	ST14	SAMN04448228
SRR3221674	Klebsiella pneumoniae	ST14	SAMN04448229
SRR3221675	Klebsiella pneumoniae	ST14	SAMN04448230
SRR3221676	Klebsiella pneumoniae	ST147-1LV	SAMN04448231
SRR3221684	Klebsiella pneumoniae	ST16	SAMN04448233
SRR3221782	Klebsiella pneumoniae	ST16	SAMN04448234
SRR3221942	Klebsiella pneumoniae	ST16	SAMN04448235
SRR3221987	Klebsiella pneumoniae	ST14	SAMN04448236
SRR3222075	Klebsiella pneumoniae	ST43	SAMN04448237
SRR3222121	Klebsiella pneumoniae	ST43	SAMN04448238
SRR3222198	Klebsiella pneumoniae	ST15	SAMN04448239
SRR3222204	Klebsiella pneumoniae	ST437	SAMN04448240
SRR3222213	Klebsiella pneumoniae	ST14	SAMN04448241
SRR3222390	Klebsiella pneumoniae	ST36	SAMN04448243
SRR3222406	Klebsiella pneumoniae	ST34	SAMN04448244
SRR3222408	Klebsiella pneumoniae	ST34	SAMN04448245
SRR3222415	Klebsiella pneumoniae	ST525	SAMN04448246
SRR3222424	Klebsiella pneumoniae	ST101	SAMN04448247
SRR3222446	Klebsiella pneumoniae	ST101	SAMN04448248
SRR3222447	Klebsiella pneumoniae	ST101	SAMN04448249
SRR3305226	Klebsiella pneumoniae	ST45	SAMN04448497
SRR3305350	Klebsiella pneumoniae	ST307	SAMN04448501
SRR3305378	Klebsiella pneumoniae	ST643	SAMN04448502
SRR3305477	Klebsiella pneumoniae	ST422	SAMN04448505
SRR3168635	Klebsiella pneumoniae	ST198	SAMN04456590
SRR3168636	Klebsiella variicola	ST3201	SAMN04456591
SRR3168637	Klebsiella pneumoniae	ST1966	SAMN04456592
SRR3170531	Klebsiella pneumoniae	ST313	SAMN04482605
SRR3185093	Klebsiella pneumoniae	ST258	SAMN04514119
SRR3185094	Klebsiella pneumoniae	ST231	SAMN04514120
SRR3185095	Klebsiella pneumoniae	ST258	SAMN04514121
SRR3185096	Klebsiella pneumoniae	ST16	SAMN04514122
SRR3185097	Klebsiella pneumoniae	ST11	SAMN04514123
SRR3185098	Klebsiella pneumoniae	ST11	SAMN04514124
SRR6701667	Klebsiella variicola	ST355	SAMN04521849
SRR6701678	Klebsiella variicola	ST344	SAMN04521850
SRR6701662	Klebsiella pneumoniae	ST258	SAMN04521855
SRR6701891	Klebsiella pneumoniae	ST1037	SAMN04521856
SRR6701664	Klebsiella pneumoniae	ST515	SAMN04521857
SRR6701890	Klebsiella pneumoniae	ST466	SAMN04521858
SRR6686518	Klebsiella pneumoniae	ST258	SAMN04521859
SRR6686317	Klebsiella pneumoniae	ST23	SAMN04521860
SRR6701893	Klebsiella pneumoniae	ST678	SAMN04521861
SRR6686526	Klebsiella pneumoniae	ST3831	SAMN04521862
SRR6701892	Klebsiella pneumoniae	ST258	SAMN04521863
SRR6701900	Klebsiella pneumoniae	ST1805	SAMN04521864
SRR6701899	Klebsiella pneumoniae	ST258	SAMN04521865
SRR6701897	Klebsiella pneumoniae	ST15	SAMN04521866
SRR6701904	Klebsiella pneumoniae	ST258	SAMN04521867
SRR6701901	Klebsiella pneumoniae	ST659	SAMN04521868
SRR6701910	Klebsiella pneumoniae	ST16	SAMN04521873
SRR6701895	Klebsiella pneumoniae	ST251	SAMN04521874
SRR6701914	Klebsiella pneumoniae	ST2147	SAMN04521884
SRR6701916	Klebsiella pneumoniae	ST478	SAMN04521885
SRR6701926	Klebsiella pneumoniae	ST258	SAMN04521889
SRR6686525	Klebsiella pneumoniae	ST628	SAMN04521896
SRR6701912	Klebsiella pneumoniae	ST628	SAMN04521897
SRR6701920	Klebsiella pneumoniae	ST628	SAMN04521898
SRR6701921	Klebsiella pneumoniae	ST258	SAMN04521902
SRR30179365	Klebsiella pneumoniae	ST45	SAMN04521903
SRR6701925	Klebsiella pneumoniae	ST15	SAMN04521904
SRR6702129	Klebsiella pneumoniae	ST3321	SAMN04521905
SRR6702128	Klebsiella pneumoniae	ST14	SAMN04521906
SRR6702130	Klebsiella pneumoniae	ST152	SAMN04521907
SRR6686528	Klebsiella pneumoniae	ST628	SAMN04521910
SRR6686529	Klebsiella pneumoniae	ST628	SAMN04521911
SRR6686521	Klebsiella pneumoniae	ST16	SAMN04521914
SRR6702192	Klebsiella pneumoniae	ST3753	SAMN04521915
SRR6686527	Klebsiella pneumoniae	ST628	SAMN04521916
SRR6686515	Klebsiella pneumoniae	ST432	SAMN04521917
SRR6686520	Klebsiella pneumoniae	ST15	SAMN04521920
SRR6686318	Klebsiella pneumoniae	ST45	SAMN04521921
SRR6702132	Klebsiella pneumoniae	ST258	SAMN04521930
SRR6702211	Klebsiella pneumoniae	ST405	SAMN04521934
SRR6686523	Klebsiella pneumoniae	ST309	SAMN04521935
SRR3204555	Klebsiella pneumoniae	ST23	SAMN04532005
SRR5244155	Klebsiella pneumoniae		SAMN04606419
SRR5244154	Klebsiella pneumoniae	ST611-1LV	SAMN04606422
SRR5244158	Klebsiella pneumoniae	ST611	SAMN04606424
SRR8607448	Klebsiella pneumoniae	ST147	SAMN04868721
SRR8607449	Klebsiella pneumoniae	ST258	SAMN04868722
SRR8607450	Klebsiella pneumoniae	ST258	SAMN04868723
SRR8607451	Klebsiella pneumoniae	ST258	SAMN04868724
SRR8607452	Klebsiella pneumoniae	ST383	SAMN04868725
SRR8607453	Klebsiella pneumoniae	ST383	SAMN04868726
SRR8607454	Klebsiella pneumoniae	ST258	SAMN04868727
SRR8607455	Klebsiella pneumoniae	ST258	SAMN04868728
SRR8607456	Klebsiella pneumoniae	ST258	SAMN04868729
SRR8607457	Klebsiella pneumoniae	ST258	SAMN04868730
SRR8607462	Klebsiella pneumoniae	ST437	SAMN04868731
SRR8607463	Klebsiella pneumoniae	ST11	SAMN04868732
SRR8607464	Klebsiella pneumoniae	ST258	SAMN04868733
SRR8607465	Klebsiella pneumoniae	ST258	SAMN04868734
SRR8607458	Klebsiella pneumoniae	ST258	SAMN04868735
SRR8607459	Klebsiella pneumoniae	ST11	SAMN04868736
SRR8607460	Klebsiella pneumoniae	ST11	SAMN04868737
SRR8607461	Klebsiella pneumoniae	ST258	SAMN04868738
SRR8607466	Klebsiella pneumoniae	ST258	SAMN04868739
SRR8607467	Klebsiella pneumoniae	ST258	SAMN04868740
SRR8607469	Klebsiella quasipneumoniae	ST2401	SAMN04868741
SRR8607468	Klebsiella pneumoniae	ST258	SAMN04868742
SRR8607471	Klebsiella pneumoniae	ST258	SAMN04868743
SRR8607470	Klebsiella pneumoniae	ST258	SAMN04868744
SRR3485203	Klebsiella pneumoniae	ST512	SAMN04961293
SRR3982100	Klebsiella pneumoniae	ST37	SAMN05170064
SRR4017920	Klebsiella pneumoniae	ST258	SAMN05170244
SRR4065652	Klebsiella pneumoniae	ST258	SAMN05170321
SRR17172564	Klebsiella pneumoniae	ST340	SAMN05193406
SRR3618629	Klebsiella pneumoniae	ST1017	SAMN05194535
SRR5132378	Klebsiella pneumoniae	ST11	SAMN05213494
SRR5132381	Klebsiella pneumoniae	ST307	SAMN05213495
SRR5132379	Klebsiella pneumoniae	ST15	SAMN05213496
SRR5132450	Klebsiella pneumoniae	ST14	SAMN05213498
SRR5132447	Klebsiella pneumoniae	ST14	SAMN05213499
SRR5132448	Klebsiella pneumoniae	ST11	SAMN05213500
SRR5132449	Klebsiella pneumoniae	ST11	SAMN05213501
SRR5132452	Klebsiella pneumoniae	ST101	SAMN05213502
SRR5132453	Klebsiella pneumoniae	ST101	SAMN05213503
SRR5132451	Klebsiella pneumoniae	ST493	SAMN05213504
SRR4115668	Klebsiella pneumoniae	ST14	SAMN05252770
SRR3928797	Klebsiella pneumoniae	ST147	SAMN05388963
SRR3928929	Klebsiella pneumoniae	ST147	SAMN05388964
SRR3928933	Klebsiella pneumoniae	ST147	SAMN05388965
SRR3928955	Klebsiella pneumoniae	ST147	SAMN05388966
SRR3928958	Klebsiella pneumoniae	ST147	SAMN05388967
SRR3928959	Klebsiella pneumoniae	ST147	SAMN05388968
SRR3928960	Klebsiella pneumoniae	ST147	SAMN05388969
SRR3928961	Klebsiella pneumoniae	ST147	SAMN05388970
SRR3929025	Klebsiella pneumoniae	ST11	SAMN05389654
SRR3928628	Klebsiella pneumoniae	ST1544	SAMN05413554
SRR3928629	Klebsiella pneumoniae	ST65	SAMN05413579
SRR3928630	Klebsiella pneumoniae	ST23	SAMN05413580
SRR4019406	Klebsiella pneumoniae	ST873	SAMN05510459
SRR4036795	Klebsiella pneumoniae	ST101	SAMN05581752
SRR4036796	Klebsiella pneumoniae	ST2055	SAMN05581753
SRR4036807	Klebsiella pneumoniae	ST23	SAMN05581754
SRR4036818	Klebsiella pneumoniae	ST36	SAMN05581755
SRR4036827	Klebsiella pneumoniae	ST111	SAMN05581756
SRR4036828	Klebsiella pneumoniae	ST776	SAMN05581757
SRR4036829	Klebsiella pneumoniae	ST636	SAMN05581758
SRR4036830	Klebsiella quasipneumoniae	ST978	SAMN05581759
SRR4036831	Klebsiella pneumoniae	ST1401	SAMN05581760
SRR4036832	Klebsiella pneumoniae	ST258	SAMN05581761
SRR4036797	Klebsiella pneumoniae	ST380	SAMN05581762
SRR4036798	Klebsiella pneumoniae	ST34	SAMN05581763
SRR4036799	Klebsiella pneumoniae	ST258	SAMN05581764
SRR4036800	Klebsiella pneumoniae	ST107	SAMN05581765
SRR4036801	Klebsiella pneumoniae	ST15	SAMN05581766
SRR4036802	Klebsiella pneumoniae	ST15	SAMN05581767
SRR4036803	Klebsiella variicola	ST2006	SAMN05581768
SRR4036804	Klebsiella pneumoniae	ST42	SAMN05581769
SRR4036805	Klebsiella pneumoniae	ST23	SAMN05581770
SRR4036806	Klebsiella pneumoniae	ST23	SAMN05581771
SRR4036808	Klebsiella pneumoniae	ST23	SAMN05581772
SRR4036809	Klebsiella pneumoniae	ST260	SAMN05581773
SRR4036815	Klebsiella pneumoniae	ST258	SAMN05581779
SRR4036816	Klebsiella pneumoniae	ST258	SAMN05581780
SRR4036817	Klebsiella pneumoniae	ST70	SAMN05581781
SRR4044708	Klebsiella pneumoniae	ST258	SAMN05597050
SRR4046827	Klebsiella pneumoniae	ST14	SAMN05603854
SRR4046828	Klebsiella pneumoniae	ST14	SAMN05604756
SRR4115175	Klebsiella pneumoniae	ST1562	SAMN05722992
SRR4115176	Klebsiella pneumoniae	ST1562	SAMN05722993
SRR4115177	Klebsiella pneumoniae	ST280	SAMN05722994
SRR4115178	Klebsiella pneumoniae	ST280	SAMN05722995
SRR4115179	Klebsiella pneumoniae	ST37	SAMN05722996
SRR4115180	Klebsiella pneumoniae	ST37	SAMN05722997
SRR4115181	Klebsiella pneumoniae	ST2360	SAMN05722998
SRR4115182	Klebsiella pneumoniae	ST2360	SAMN05722999
SRR4115183	Klebsiella pneumoniae	ST2359	SAMN05723000
SRR4115184	Klebsiella pneumoniae	ST34	SAMN05723001
SRR4115186	Klebsiella pneumoniae	ST1691	SAMN05723002
SRR4115187	Klebsiella pneumoniae	ST17	SAMN05723003
SRR4115188	Klebsiella pneumoniae	ST45	SAMN05723004
SRR4115189	Klebsiella pneumoniae	ST34	SAMN05723005
SRR4115190	Klebsiella pneumoniae	ST935	SAMN05723006
SRR4115191	Klebsiella pneumoniae	ST643	SAMN05723007
SRR4115192	Klebsiella pneumoniae	ST1322	SAMN05723008
SRR4115193	Klebsiella pneumoniae	ST208	SAMN05723009
SRR4115194	Klebsiella pneumoniae	ST152	SAMN05723010
SRR4115195	Klebsiella pneumoniae	ST433	SAMN05723011
SRR4115197	Klebsiella pneumoniae	ST20	SAMN05723012
SRR4187409	Klebsiella pneumoniae	ST512	SAMN05730638
SRR4187410	Klebsiella pneumoniae	ST340	SAMN05730639
SRR4187411	Klebsiella pneumoniae	ST512	SAMN05730640
SRR4191407	Klebsiella pneumoniae	ST1043	SAMN05733799
SRR4191408	Klebsiella pneumoniae	ST1043	SAMN05733803
SRR4191409	Klebsiella pneumoniae	ST1043	SAMN05734403
SRR4191410	Klebsiella pneumoniae	ST1043	SAMN05734404
SRR4191411	Klebsiella pneumoniae	ST1043	SAMN05734405
SRR4191406	Klebsiella pneumoniae	ST1043	SAMN05734406
SRR4199254	Klebsiella pneumoniae	ST258	SAMN05751230
SRR4198668	Klebsiella pneumoniae	ST512	SAMN05751231
SRR4198669	Klebsiella pneumoniae	ST512	SAMN05751232
SRR4198781	Klebsiella pneumoniae	ST512	SAMN05751233
SRR4198834	Klebsiella pneumoniae	ST512	SAMN05751234
SRR4198845	Klebsiella pneumoniae	ST512	SAMN05751235
SRR4198856	Klebsiella pneumoniae	ST258	SAMN05751236
SRR4198867	Klebsiella pneumoniae	ST512	SAMN05751237
SRR4198878	Klebsiella pneumoniae	ST258	SAMN05751238
SRR4198889	Klebsiella pneumoniae	ST512	SAMN05751239
SRR4198670	Klebsiella pneumoniae	ST512	SAMN05751241
SRR4198681	Klebsiella pneumoniae	ST512	SAMN05751242
SRR4198692	Klebsiella pneumoniae	ST512	SAMN05751243
SRR4198704	Klebsiella pneumoniae	ST258	SAMN05751244
SRR4198715	Klebsiella pneumoniae	ST258	SAMN05751245
SRR4198726	Klebsiella pneumoniae	ST512	SAMN05751246
SRR4198737	Klebsiella pneumoniae	ST258	SAMN05751247
SRR4198748	Klebsiella pneumoniae	ST258	SAMN05751248
SRR4198759	Klebsiella pneumoniae	ST512	SAMN05751249
SRR4198770	Klebsiella pneumoniae	ST258	SAMN05751250
SRR4198783	Klebsiella pneumoniae	ST512	SAMN05751251
SRR4198794	Klebsiella pneumoniae	ST512	SAMN05751252
SRR4198805	Klebsiella pneumoniae	ST512	SAMN05751253
SRR4198816	Klebsiella pneumoniae	ST512	SAMN05751254
SRR4198827	Klebsiella pneumoniae	ST512	SAMN05751255
SRR4198828	Klebsiella pneumoniae	ST512	SAMN05751256
SRR4198829	Klebsiella pneumoniae	ST512	SAMN05751257
SRR4198830	Klebsiella pneumoniae	ST512	SAMN05751258
SRR4198831	Klebsiella pneumoniae	ST512	SAMN05751259
SRR4198833	Klebsiella pneumoniae	ST512	SAMN05751260
SRR4198835	Klebsiella pneumoniae	ST512	SAMN05751261
SRR4198836	Klebsiella pneumoniae	ST512	SAMN05751262
SRR4198837	Klebsiella pneumoniae	ST512	SAMN05751263
SRR4198838	Klebsiella pneumoniae	ST512	SAMN05751264
SRR4198839	Klebsiella pneumoniae	ST512	SAMN05751265
SRR4198840	Klebsiella pneumoniae	ST512	SAMN05751266
SRR4198841	Klebsiella pneumoniae	ST512	SAMN05751267
SRR4198842	Klebsiella pneumoniae	ST512	SAMN05751269
SRR4198843	Klebsiella pneumoniae	ST512	SAMN05751270
SRR4198844	Klebsiella pneumoniae	ST258	SAMN05751272
SRR4198846	Klebsiella pneumoniae	ST258	SAMN05751273
SRR4198847	Klebsiella pneumoniae	ST258	SAMN05751274
SRR4198848	Klebsiella pneumoniae	ST258	SAMN05751275
SRR4198849	Klebsiella pneumoniae	ST258	SAMN05751276
SRR4198850	Klebsiella pneumoniae	ST258	SAMN05751277
SRR4198851	Klebsiella pneumoniae	ST512	SAMN05751278
SRR4198852	Klebsiella pneumoniae	ST512	SAMN05751279
SRR4198853	Klebsiella pneumoniae	ST512	SAMN05751280
SRR4198854	Klebsiella pneumoniae	ST512	SAMN05751281
