sample_id	Species	ST	sample_accession
ERR2397553	Klebsiella pneumoniae	ST16	SAMEA4364633
ERR2397554	Klebsiella pneumoniae	ST147	SAMEA4364634
ERR2397555	Klebsiella pneumoniae	ST37	SAMEA4364635
ERR2397556	Klebsiella pneumoniae	ST592	SAMEA4364636
ERR2397557	Klebsiella pneumoniae	ST375	SAMEA4364637
ERR2397558	Klebsiella pneumoniae	ST2426	SAMEA4364638
ERR2397559	Klebsiella pneumoniae	ST23	SAMEA4364639
ERR2397560	Klebsiella pneumoniae	ST23	SAMEA4364640
ERR2397561	Klebsiella quasipneumoniae	ST3590	SAMEA4364641
ERR2397562	Klebsiella pneumoniae	ST37	SAMEA4364642
ERR2397563	Klebsiella pneumoniae	ST791	SAMEA4364643
ERR2397564	Klebsiella pneumoniae	ST661	SAMEA4364644
ERR2397565	Klebsiella pneumoniae	ST23	SAMEA4364645
ERR2397566	Klebsiella pneumoniae	ST11	SAMEA4364646
ERR2397567	Klebsiella pneumoniae	ST147	SAMEA4364647
ERR2397568	Klebsiella pneumoniae	ST3591	SAMEA4364648
ERR2397569	Klebsiella pneumoniae	ST784	SAMEA4364649
ERR2397570	Klebsiella pneumoniae	ST353	SAMEA4364650
ERR2397571	Klebsiella pneumoniae	ST16	SAMEA4364651
ERR2397572	Klebsiella pneumoniae	ST307	SAMEA4364652
ERR2397573	Klebsiella pneumoniae	ST45	SAMEA4364653
ERR2397574	Klebsiella pneumoniae	ST3592	SAMEA4364654
ERR2397575	Klebsiella pneumoniae	ST420	SAMEA4364655
ERR2397576	Klebsiella pneumoniae	ST530	SAMEA4364656
ERR2397577	Klebsiella pneumoniae	ST2948	SAMEA4364657
ERR2397578	Klebsiella pneumoniae	ST231	SAMEA4364658
ERR2397579	Klebsiella pneumoniae	ST656	SAMEA4364659
ERR2397580	Klebsiella pneumoniae	ST14	SAMEA4364660
ERR2397581	Klebsiella pneumoniae	ST420	SAMEA4364661
ERR2397582	Klebsiella pneumoniae	ST65	SAMEA4364662
ERR2397583	Klebsiella pneumoniae	ST15	SAMEA4364663
ERR2397584	Klebsiella variicola	ST285	SAMEA4364664
ERR2397585	Klebsiella pneumoniae	ST3593	SAMEA4364665
ERR2397586	Klebsiella pneumoniae	ST8	SAMEA4364666
ERR2397587	Klebsiella pneumoniae	ST11	SAMEA4364667
ERR2397588	Klebsiella pneumoniae	ST76	SAMEA4364668
ERR2397589	Klebsiella pneumoniae	ST323	SAMEA4364669
ERR2397590	Klebsiella pneumoniae	ST15	SAMEA4364670
ERR2397463	Klebsiella pneumoniae	ST659	SAMEA4364671
ERR2397464	Klebsiella pneumoniae	ST147	SAMEA4364672
ERR2397465	Klebsiella pneumoniae	ST661	SAMEA4364673
ERR2397466	Klebsiella pneumoniae	ST65	SAMEA4364674
ERR2397467	Klebsiella pneumoniae		SAMEA4364698
ERR2397468	Klebsiella pneumoniae	ST323	SAMEA4364702
ERR1878470	Klebsiella pneumoniae	ST2004	SAMEA4370513
ERR1878471	Klebsiella pneumoniae	ST2004	SAMEA4370514
ERR1878472	Klebsiella pneumoniae	ST2004	SAMEA4370515
ERR1878473	Klebsiella pneumoniae	ST2004	SAMEA4370516
ERR1878474	Klebsiella pneumoniae	ST2004	SAMEA4370517
ERR1878475	Klebsiella pneumoniae	ST307	SAMEA4370518
ERR1878476	Klebsiella pneumoniae	ST307	SAMEA4370519
ERR1878477	Klebsiella pneumoniae	ST307	SAMEA4370520
ERR1878478	Klebsiella pneumoniae	ST307	SAMEA4370521
ERR1878479	Klebsiella pneumoniae	ST307	SAMEA4370522
ERR1878480	Klebsiella pneumoniae	ST307	SAMEA4370523
ERR1878481	Klebsiella pneumoniae	ST307	SAMEA4370524
ERR1878482	Klebsiella pneumoniae	ST307	SAMEA4370525
ERR1878483	Klebsiella pneumoniae	ST307	SAMEA4370526
ERR1878484	Klebsiella pneumoniae	ST307	SAMEA4370527
ERR1878485	Klebsiella pneumoniae	ST268	SAMEA4370528
ERR1878486	Klebsiella pneumoniae	ST268	SAMEA4370529
ERR1878487	Klebsiella pneumoniae	ST268	SAMEA4370530
ERR1878488	Klebsiella pneumoniae	ST268	SAMEA4370531
ERR1878489	Klebsiella pneumoniae	ST268	SAMEA4370532
ERR1878490	Klebsiella pneumoniae	ST307	SAMEA4370533
ERR1878491	Klebsiella pneumoniae	ST307	SAMEA4370534
ERR1878492	Klebsiella pneumoniae	ST258	SAMEA4370535
ERR1878493	Klebsiella pneumoniae	ST874	SAMEA4370536
ERR1878494	Klebsiella pneumoniae	ST874	SAMEA4370537
ERR1878495	Klebsiella pneumoniae	ST874	SAMEA4370538
ERR1878496	Klebsiella pneumoniae	ST258	SAMEA4370539
ERR1878497	Klebsiella pneumoniae	ST874	SAMEA4370540
ERR1878498	Klebsiella pneumoniae	ST874	SAMEA4370541
ERR1878499	Klebsiella pneumoniae	ST874	SAMEA4370542
ERR1878500	Klebsiella pneumoniae	ST874	SAMEA4370543
ERR1878501	Klebsiella pneumoniae	ST307	SAMEA4370544
ERR1878502	Klebsiella pneumoniae	ST307	SAMEA4370545
ERR1878503	Klebsiella pneumoniae	ST307	SAMEA4370546
ERR1878504	Klebsiella pneumoniae	ST307	SAMEA4370547
ERR1878505	Klebsiella pneumoniae	ST307	SAMEA4370548
ERR1878506	Klebsiella pneumoniae	ST268	SAMEA4370549
ERR1878507	Klebsiella pneumoniae	ST268	SAMEA4370550
ERR1878508	Klebsiella pneumoniae	ST268	SAMEA4370551
ERR1878509	Klebsiella pneumoniae	ST1436	SAMEA4370552
ERR1878510	Klebsiella pneumoniae	ST1436	SAMEA4370553
ERR1878511	Klebsiella pneumoniae	ST1436	SAMEA4370554
ERR1878512	Klebsiella pneumoniae	ST1436	SAMEA4370555
ERR1878513	Klebsiella pneumoniae	ST2004	SAMEA4370556
ERR1878514	Klebsiella pneumoniae	ST2004	SAMEA4370557
ERR1878515	Klebsiella pneumoniae	ST2004	SAMEA4370558
ERR1878516	Klebsiella pneumoniae	ST2004	SAMEA4370559
ERR1878517	Klebsiella pneumoniae	ST2004	SAMEA4370560
ERR1878518	Klebsiella pneumoniae	ST268	SAMEA4370561
ERR1878519	Klebsiella pneumoniae	ST268	SAMEA4370562
ERR1878520	Klebsiella pneumoniae	ST268	SAMEA4370563
ERR1878521	Klebsiella pneumoniae	ST268	SAMEA4370564
ERR1878522	Klebsiella pneumoniae	ST307	SAMEA4370565
ERR1878523	Klebsiella pneumoniae	ST327	SAMEA4370566
ERR1878524	Klebsiella pneumoniae	ST307	SAMEA4370567
ERR1878525	Klebsiella pneumoniae	ST307	SAMEA4370568
ERR1878526	Klebsiella pneumoniae	ST307	SAMEA4370569
ERR1878527	Klebsiella pneumoniae	ST268	SAMEA4370570
ERR1878528	Klebsiella pneumoniae	ST1436	SAMEA4370571
ERR1878529	Klebsiella pneumoniae	ST1436	SAMEA4370572
ERR1878530	Klebsiella pneumoniae	ST1436	SAMEA4370573
ERR1878531	Klebsiella pneumoniae	ST268	SAMEA4370574
ERR1878532	Klebsiella pneumoniae	ST1436	SAMEA4370575
ERR2397469	Klebsiella pneumoniae	ST36	SAMEA4394721
ERR2397470	Klebsiella pneumoniae	ST15	SAMEA4394722
ERR2397471	Klebsiella pneumoniae	ST147	SAMEA4394723
ERR2397472	Klebsiella pneumoniae	ST15	SAMEA4394724
ERR2397473	Klebsiella pneumoniae	ST29	SAMEA4394725
ERR2397474	Klebsiella quasipneumoniae	ST3594	SAMEA4394726
ERR2397475	Klebsiella quasipneumoniae	ST3595	SAMEA4394727
ERR2397477	Klebsiella pneumoniae	ST231	SAMEA4394729
ERR2397478	Klebsiella pneumoniae	ST307	SAMEA4394730
ERR2397479	Klebsiella pneumoniae	ST147	SAMEA4394731
ERR2397480	Klebsiella pneumoniae	ST147	SAMEA4394732
ERR2397481	Klebsiella pneumoniae	ST17	SAMEA4394733
ERR2397482	Klebsiella pneumoniae	ST3596	SAMEA4394734
ERR2397483	Klebsiella pneumoniae		SAMEA4394735
ERR2397484	Klebsiella pneumoniae	ST16	SAMEA4394736
ERR2397485	Klebsiella pneumoniae	ST17	SAMEA4394737
ERR2397486	Klebsiella pneumoniae	ST14	SAMEA4394738
ERR2397487	Klebsiella pneumoniae	ST17	SAMEA4394739
ERR2397488	Klebsiella pneumoniae		SAMEA4394740
ERR2397491	Klebsiella pneumoniae		SAMEA4394743
ERR2397495	Klebsiella pneumoniae	ST2434	SAMEA4394751
ERR2397340	Klebsiella pneumoniae	ST42	SAMEA44002918
ERR4221767	Klebsiella pneumoniae	ST45	SAMEA4425259
ERR4221527	Klebsiella pneumoniae	ST62	SAMEA4425262
ERR4221766	Klebsiella pneumoniae	ST2668	SAMEA4425263
ERR1616330	Klebsiella pneumoniae	ST48	SAMEA4427297
ERR1616331	Klebsiella pneumoniae	ST1980	SAMEA4427298
ERR1616332	Klebsiella pneumoniae	ST111	SAMEA4427299
ERR1616333	Klebsiella pneumoniae	ST1441	SAMEA4427300
ERR1616334	Klebsiella pneumoniae	ST360	SAMEA4427301
ERR1616335	Klebsiella pneumoniae	ST48	SAMEA4427302
ERR1616336	Klebsiella pneumoniae	ST20	SAMEA4427303
ERR1616337	Klebsiella pneumoniae	ST307	SAMEA4427304
ERR1616338	Klebsiella pneumoniae	ST48	SAMEA4427305
ERR1616339	Klebsiella pneumoniae	ST70	SAMEA4427306
ERR1616340	Klebsiella pneumoniae	ST1453	SAMEA4427307
ERR1616341	Klebsiella pneumoniae	ST48	SAMEA4427308
ERR1616342	Klebsiella pneumoniae	ST37	SAMEA4427309
ERR1616343	Klebsiella pneumoniae	ST48	SAMEA4427310
ERR1616344	Klebsiella pneumoniae	ST48	SAMEA4427311
ERR1616345	Klebsiella pneumoniae	ST359	SAMEA4427312
ERR1616346	Klebsiella pneumoniae	ST252	SAMEA4427313
ERR1616347	Klebsiella pneumoniae	ST15	SAMEA4427314
ERR1616348	Klebsiella pneumoniae	ST3822	SAMEA4427315
ERR1616349	Klebsiella pneumoniae	ST15	SAMEA4427316
ERR1616350	Klebsiella pneumoniae	ST268	SAMEA4427317
ERR1616351	Klebsiella pneumoniae	ST104	SAMEA4427318
ERR1616352	Klebsiella pneumoniae	ST48	SAMEA4427319
ERR1616353	Klebsiella pneumoniae	ST873	SAMEA4427320
ERR1616354	Klebsiella pneumoniae	ST290	SAMEA4427321
ERR1616355	Klebsiella pneumoniae	ST1427	SAMEA4427322
ERR1616356	Klebsiella pneumoniae	ST889	SAMEA4427323
ERR1616357	Klebsiella pneumoniae	ST392	SAMEA4427324
ERR1616358	Klebsiella pneumoniae	ST15	SAMEA4427325
ERR1616359	Klebsiella pneumoniae	ST1836	SAMEA4427326
ERR1616360	Klebsiella pneumoniae	ST36-1LV	SAMEA4427327
ERR1616361	Klebsiella pneumoniae	ST22	SAMEA4427328
ERR1616362	Klebsiella pneumoniae	ST1593	SAMEA4427329
ERR1616363	Klebsiella pneumoniae	ST14	SAMEA4427330
