accession	layout	r1_url	r2_url	biosample	read_count	stratum
DRR386247	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386247/DRR386247_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386247/DRR386247_2.fastq.gz	SAMD00497743	1394380	u
DRR386285	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386285/DRR386285_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386285/DRR386285_2.fastq.gz	SAMD00497781	1453175	u
DRR386312	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386312/DRR386312_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386312/DRR386312_2.fastq.gz	SAMD00497808	1347942	u
DRR386330	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386330/DRR386330_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386330/DRR386330_2.fastq.gz	SAMD00497826	1482704	u
DRR386378	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386378/DRR386378_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386378/DRR386378_2.fastq.gz	SAMD00497874	860156	u
DRR386420	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386420/DRR386420_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386420/DRR386420_2.fastq.gz	SAMD00497916	910948	u
DRR386429	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386429/DRR386429_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386429/DRR386429_2.fastq.gz	SAMD00497925	870568	u
DRR386461	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386461/DRR386461_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386461/DRR386461_2.fastq.gz	SAMD00497957	1296702	u
DRR386463	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386463/DRR386463_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386463/DRR386463_2.fastq.gz	SAMD00497959	1000682	u
DRR386474	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386474/DRR386474_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386474/DRR386474_2.fastq.gz	SAMD00497970	1260938	u
DRR386485	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386485/DRR386485_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386485/DRR386485_2.fastq.gz	SAMD00497981	1292315	u
DRR386489	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386489/DRR386489_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386489/DRR386489_2.fastq.gz	SAMD00497985	1410661	u
DRR386529	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386529/DRR386529_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386529/DRR386529_2.fastq.gz	SAMD00498025	1116200	u
DRR386586	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386586/DRR386586_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386586/DRR386586_2.fastq.gz	SAMD00498082	867891	u
DRR386603	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386603/DRR386603_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386603/DRR386603_2.fastq.gz	SAMD00498099	2964280	u
DRR386607	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386607/DRR386607_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386607/DRR386607_2.fastq.gz	SAMD00498103	663955	u
DRR386612	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386612/DRR386612_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386612/DRR386612_2.fastq.gz	SAMD00498108	761267	u
DRR386648	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386648/DRR386648_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386648/DRR386648_2.fastq.gz	SAMD00498144	1081914	u
DRR386653	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386653/DRR386653_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386653/DRR386653_2.fastq.gz	SAMD00498149	827802	u
DRR386689	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386689/DRR386689_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386689/DRR386689_2.fastq.gz	SAMD00498185	760730	u
DRR386695	PAIRED	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386695/DRR386695_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/DRR386/DRR386695/DRR386695_2.fastq.gz	SAMD00498191	1489635	u
