sample_accession	run_accession	aws_url
SAMD00108762	DRR122447	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108762.fa.gz
SAMD00108763	DRR122448	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108763.fa.gz
SAMD00108764	DRR122449	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108764.fa.gz
SAMD00108765	DRR122450	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108765.fa.gz
SAMD00108766	DRR122451	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108766.fa.gz
SAMD00108767	DRR197033	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108767.fa.gz
SAMD00108768	DRR122452	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108768.fa.gz
SAMD00108769	DRR122453	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108769.fa.gz
SAMD00108770	DRR122454	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108770.fa.gz
SAMD00108771	DRR122455	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108771.fa.gz
SAMD00108772	DRR122456	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108772.fa.gz
SAMD00108775	DRR122459	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108775.fa.gz
SAMD00108777	DRR122461	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108777.fa.gz
SAMD00108778	DRR122462	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108778.fa.gz
SAMD00108779	DRR122463	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108779.fa.gz
SAMD00108781	DRR122465	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108781.fa.gz
SAMD00108783	DRR122467	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMD00108783.fa.gz
